score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
2,likely_mr,prot:title|gwas:abs,MR,2024,MED,38985358,10.1007/s12672-024-01128-4,Discover oncology,Causal inference of the effect of blood proteome on the risk of head and neck cancer: two-sample Mendelian randomization.,"Wang Z, Wu J.",2024-07-10,"Early diagnosis of head and neck cancer can improve therapeutic outcomes but remains a challenge. The blood proteome can comprise a key source of biomarkers that enable the early diagnosis and precision medicine in head and neck cancer, but blood protein biomarkers of head and neck cancer are not well delineated. Here we applied two-sample Mendelian randomization to a GWAS dataset of 1478 blood proteins and large dataset of head and neck cancer cases and controls to identify blood proteome traits associated with head and neck cancer. Multiple two-sample Mendelian randomization (MR) methods wer"
2,likely_mr,prot:title|gwas:abs|platform|cohort,MR|coloc|drug-target,2025,MED,40420090,10.1186/s12959-025-00733-9,Thrombosis journal,Therapeutic targets for venous thromboemblism: proteome-wide mendelian randomization and colocalization analyses.,"Li X, Yang CH, Zhou M, Yin MY.",2025-05-26,"<h4>Background</h4>Venous thromboembolism (VTE) is a significant global health issue, yet effective therapeutic targets for its prevention and treatment remain elusive. This study aimed to identify plasma proteins causally associated with VTE risk using proteome-wide Mendelian randomization (MR) and colocalization analyses.<h4>Methods</h4>We utilized genome-wide association study (GWAS) data from the UK Biobank and FinnGen cohorts, encompassing 38,573 VTE cases and 946,373 controls. Plasma protein levels were quantified using Olink technology in the UK Biobank Pharma Proteomics Project (UKB-PP"
2,likely_mr,prot:abs|gwas:abs|platform|cohort,MR|coloc,2026,MED,41270966,10.1016/j.metabol.2025.156452,Metabolism: clinical and experimental,Air pollution exacerbates cardiovascular-kidney-metabolic syndrome and sarcopenia comorbidity via shared genetic-epigenetic mechanisms: A multi-omics and Mendelian Randomization study.,"Wei S, Shu Z, Li X, Zhong S, Xiao L, Shen R, Lu X, He L, Zhang Y, Quan Y, Huang X.",2025-11-19,"<h4>Background</h4>Ambient air pollution aggravates cardiovascular-kidney-metabolic (CKM) disorders and sarcopenia, yet the shared genetic and epigenetic mechanisms that underlie their frequent co-occurrence remain poorly understood.<h4>Methods</h4>We integrated genome-wide association study (GWAS) data for CKM components (cardiovascular disease [CVD], chronic kidney disease [CKD], metabolic syndrome), CKM-related cardiovascular events, and sarcopenia diagnostic criteria from European-ancestry cohorts, and conducted meta-analyses harmonizing each phenotype across at least three studies. We emp"
2,likely_mr,prot:title|gwas:abs,MR,2025,MED,41287097,10.1186/s13148-025-02014-8,Clinical epigenetics,"Investigating the pathogenesis of urolithiasis through gut microbiome, plasma metabolome and inflammatory proteome: a mediation Mendelian randomization study.","Wu G, Zhu W, Li G, Xu Y, Liu Y, Tao L, Hao Z.",2025-11-25,"<h4>Background</h4>Urolithiasis is a multifactorial systemic metabolic disease influenced by genetic, environmental, and dietary factors. Although previous observational studies have established strong links between the gut microbiome, plasma metabolome, inflammatory proteome, and urolithiasis, may be influenced by various confounding factors. This study aims to elucidate the causal relationships between gut microbiota (GM) and urolithiasis, and to investigate whether plasma metabolites and inflammatory proteins mediate this interaction.<h4>Methods</h4>We utilized publicly available dataset fr"
2,likely_mr,prot:abs|gwas:abs|platform,MR,2023,MED,37655481,10.1161/jaha.122.029000,Journal of the American Heart Association,Causal Effects of YKL-40 on Ischemic Stroke and Its Subtypes: A 2-Sample Mendelian Randomization Study.,"Xu Q, Sun L, Wang Y, Wang R, Jia Y, Guo D, Shi M, Yang P, Zhang Y, Zhu Z.",2023-09-01,"Background Chitinase-3 like protein 1 (CHI3L1, YKL-40) was reported to be implicated in the development of ischemic stroke, but whether the association between them was causal remained unclear. We conducted a 2-sample Mendelian randomization study to explore the associations of genetically determined plasma YKL-40 with ischemic stroke and its subtypes (large artery stroke, small vessel stroke, and cardioembolic stroke). Methods and Results Based on genome-wide association study data of 3394 European-descent individuals, we selected 13 single-nucleotide polymorphisms associated with plasma YKL-"
2,likely_mr,prot:title|gwas:abs,MR,2024,MED,38844506,10.1038/s43856-024-00530-x,Communications medicine,Mendelian randomization reveals interactions of the blood proteome and immunome in mitral valve prolapse.,"Minvielle Moncla LH, Briend M, Sokhna Sylla M, Mathieu S, Rufiange A, Bossé Y, Mathieu P.",2024-06-06,"<h4>Background</h4>Mitral valve prolapse (MVP) is a common heart disorder characterized by an excessive production of proteoglycans and extracellular matrix in mitral valve leaflets. Large-scale genome-wide association study (GWAS) underlined that MVP is heritable. The molecular underpinnings of the disease remain largely unknown.<h4>Methods</h4>We interrogated cross-modality data totaling more than 500,000 subjects including GWAS, 4809 molecules of the blood proteome, and genome-wide expression of mitral valves to identify candidate drivers of MVP. Data were investigated through Mendelian ran"
2,likely_mr,prot:abs|gwas:abs|platform,MR,2025,PPR,,10.21203/rs.3.rs-6407602/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}",Bridging Lipids and Colon Cancer: The Mediating Influence of Inflammation,"Li Z, Ma M, Jin Y, Li Y, Wang Z, Peng S, zhou J, Wang Y, Li S.",2025-05-27,"<title>Abstract</title>  <p><bold>Background</bold> : Colon cancer(CC) is a common and deadly cancer. Research indicates a connection between inflammation, lipids, and colon cancer, though the precise nature of this relationship remains uncertain. <bold>Method </bold>: We performed a two-sample Mendelian randomization(MR) analysis to examine the potential mediating role of inflammation in the relationship between lipids and colon cancer. In this study, we utilized recently published genome-wide association study (GWAS) data pertaining to lipids, inflammation, and colon cancer. The GeneRISK coh"
2,likely_mr,prot:abs|gwas:abs|platform,MR,2025,PPR,,10.22541/au.174444324.48911391/v1,"{'publisher': 'Authorea Preprints', 'yearOfPublication': 2025}",Bridging Lipids and Colon Cancer: The Mediating Influence of Inflammation,"Li Z, Ma M, Jin Y, Li Y, Wang Z, Peng S, zhou J, Wang Y, Li S.",2025-04-12,"<h4>Background: </h4> : Colon cancer(CC) is a common and deadly cancer. Research indicates a connection between inflammation, lipids, and colon cancer, though the precise nature of this relationship remains uncertain.  <h4>Method: </h4> : We performed a two-sample Mendelian randomization(MR) analysis to examine the potential mediating role of inflammation in the relationship between lipids and colon cancer. In this study, we utilized recently published genome-wide association study (GWAS) data pertaining to lipids, inflammation, and colon cancer. The GeneRISK cohort provided lipid GWAS data fr"
2,likely_mr,prot:abs|gwas:title,MR,2025,MED,40645996,10.1038/s41467-025-61720-2,Nature communications,Cross-population GWAS and proteomics improve risk prediction and reveal mechanisms in atrial fibrillation.,"Yuan S, Chen J, Ruan X, Li Y, Abramowitz SA, Wang L, Jiang F, Xiong Y, Levin MG, Voight BF, Gill D, Burgess S, Åkesson A, Michaëlsson K, Li X, Damrauer SM, Larsson SC.",2025-07-11,"Atrial fibrillation (AF) is a common cardiac arrhythmia with strong genetic components, yet its underlying molecular mechanisms and potential therapeutic targets remain incompletely understood. We conducted a cross-population genome-wide meta-analysis of 168,007 AF cases and identified 525 loci that met genome-wide significance. Two loci of PITX2 and ZFHX3 genes were identified as shared across populations of different ancestries. Comprehensive gene prioritization approaches reinforced the role of muscle development and heart contraction while also uncovering additional pathways, including cel"
2,likely_mr,prot:abs|gwas:title,MR,2025,MED,40075078,10.1038/s41467-025-57829-z,Nature communications,"GWAS identifies genetic loci, lifestyle factors and circulating biomarkers that are risk factors for sarcoidosis.","Yuan S, Chen J, Geng J, Zhao SS, Yarmolinsky J, Arkema EV, Abramowitz S, Levin MG, Tsilidis KK, Burgess S, Damrauer SM, Larsson SC.",2025-03-12,"Sarcoidosis is a complex inflammatory disease with a strong genetic component. Here, we perform a genome-wide association study in 9755 sarcoidosis cases to identify risk loci and map associated genes. We then use transcriptome-wide association studies and enrichment analyses to explore pathways involved in sarcoidosis and use Mendelian randomization to examine associations with modifiable factors and circulating biomarkers. We identify 28 genomic loci associated with sarcoidosis, with the C1orf141-IL23R locus showing the largest effect size. We observe gene expression patterns related to sarc"
2,likely_mr,prot:abs|gwas:abs|platform,MR,2026,MED,42057688,10.1021/acs.jproteome.5c01158,Journal of proteome research,Obstructive Sleep Apnea Associated with Periodontitis: Evidence from Mendelian Randomization and Salivary Proteomics.,"Yu M, Feng M, Chen X, Ma K, Gong X, Gao X.",2026-04-30,"Clinical evidence supports a link between obstructive sleep apnea (OSA) and periodontitis. However, whether OSA exerts a causal effect on periodontitis and the underlying protein biomarkers remains unclear. This study aimed to investigate their causal relationship and to identify salivary protein markers involved in the shared pathogenesis. First, a bidirectional two-sample Mendelian randomization (MR) analysis using genome-wide association study (GWAS) statistics was conducted to evaluate the causal relationship. Second, data-independent acquisition (DIA)-based salivary proteomics was applied"
2,likely_mr,prot:title|gwas:abs,MR,2026,MED,41791135,10.1016/j.clineuro.2026.109365,Clinical neurology and neurosurgery,Proteome-wide Mendelian randomization implicates causal plasma proteins in epilepsy.,"Yao Y, Zou Q, Chen K.",2026-02-26,"<h4>Objective</h4>Proteomic changes can provide critical insights into the molecular alterations underlying epilepsy. Recent advances in proteomic technologies present opportunities to identify novel biomarkers and therapeutic targets.<h4>Methods</h4>To investigate the causal relationships between plasma protein levels and the risk of epilepsy and its subtypes, we performed a proteome-wide Mendelian randomization meta-analysis utilizing data from large genome-wide association studies. Pathway enrichment analysis was further conducted to identify pathways implicated in the pathogenesis of epile"
2,likely_mr,prot:abs|gwas:title,MR,2025,PPR,,10.21203/rs.3.rs-6173614/v1,"{'publisher': 'Research Square', 'yearOfPublication': 2025}",Gene discovery and pleiotropic architecture of chronic pain in a genome-wide association study of &gt;1.2 million individuals,"Kranzler H, Toikumo S, Davis C, Jinwala Z, Khan Y, Jennings M, Davis L, Sanchez-Roige S, Kember R.",2025-04-10,"<title>Abstract</title>  <p>Chronic pain is highly prevalent worldwide, and genome-wide association studies (GWAS) have identified a growing number of chronic pain loci. To further elucidate its genetic architecture, we leveraged data from 1,235,695 European ancestry individuals across three biobanks. In a meta-analytic GWAS, we identified 343 independent loci for chronic pain, 92 of which were new. Sex-specific meta-analyses revealed 115 independent loci (12 of which were new) for males (N = 583,066) and 12 loci (two of which were new) for females (N = 241,266). Multi-omics gene prioritizatio"
2,likely_mr,prot:abs|gwas:title,MR,2025,PPR,,10.1101/2025.02.28.25323112,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Gene discovery and pleiotropic architecture of Chronic Pain in a Genome-wide Association Study of >1.2 million Individuals,"Toikumo S, Davis C, Jinwala Z, Khan Y, Jennings M, Davis L, Sanchez-Roige S, Kember RL, Kranzler HR.",2025-03-05,"<h4>ABSTRACT</h4> Chronic pain is highly prevalent worldwide, and genome-wide association studies (GWAS) have identified a growing number of chronic pain loci. To further elucidate its genetic architecture, we leveraged data from 1,235,695 European ancestry individuals across three biobanks. In a meta-analytic GWAS, we identified 343 independent loci for chronic pain, 92 of which were new. Sex-specific meta-analyses revealed 115 independent loci (12 of which were new) for males (N = 583,066) and 12 loci (two of which were new) for females (N = 241,266). Multi-omics gene prioritization analyses"
2,likely_mr,prot:title|gwas:abs,MR,2025,MED,40397384,10.1177/13872877251345151,Journal of Alzheimer's disease : JAD,Causal relationships between plasma proteins and Alzheimer's disease using bidirectional Mendelian randomization.,"Li Y, Yao YL, Wu Y.",2025-07-01,"BackgroundAlzheimer's disease (AD) is influenced by a complex interplay of genetic, immune, and metabolic factors. Identifying plasma proteins causally linked to AD could help clarify these pathways and uncover potential therapeutic targets.ObjectiveThis study aims to investigate the causal relationships between AD and plasma proteins.MethodsWe conducted a two-stage, two-sample Mendelian randomization (MR) analysis to explore the causal relationships between plasma protein levels and AD risk. In both stages, we used non-overlapping genome-wide association study datasets for exposures (plasma p"
2,likely_mr,prot:title|gwas:abs,MR,2026,MED,41236733,10.1158/1055-9965.epi-25-1230,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",The Association between Genetically Predicted C-Reactive Protein Levels and Risk of Colorectal Cancer in an East Asian Population: Two-Sample Mendelian Randomization.,"Choi CK, Yang JH, Shin MH, Cho SH, Jia WH, Kim J, Shin A, Kim DH, Matsuo K, Jee SH, Matsuda K, Gao YT, Shu XO, Zheng W, Kweon SS.",2026-02-01,"<h4>Background</h4>C-reactive protein (CRP) is a widely used inflammatory biomarker that has been related to colorectal cancer risk. However, observational studies are prone to confounding and reverse causality.<h4>Methods</h4>We conducted a two-sample Mendelian randomization using CRP genome-wide association study (GWAS) data from 59,605 Korean individuals and colorectal cancer GWAS data from 23,572 cases and 48,700 controls from an East Asia population. The analysis had 80% power to detect an OR of 1.12 for colorectal cancer risk per twofold increase in CRP levels.<h4>Results</h4>Genetically"
2,likely_mr,prot:title|gwas:abs,MR,2025,MED,41029163,10.1097/md.0000000000044477,Medicine,Two-sample Mendelian randomization analysis of 91 circulating inflammatory protein levels and meningioma.,"Xin J, Zhu Q, Chen X, Huang P, Hu W, Huang Z.",2025-09-01,"Meningiomas are prevalent central nervous system tumors with unclear etiological mechanisms. Due to their location outside the blood-brain barrier, they may be susceptible to systemic inflammatory responses. This study aimed to explore the causal relationship between 91 inflammatory proteins and meningiomas through 2-sample Mendelian randomization (MR). Using genome-wide association studies data from 14,824 participants, single nucleotide polymorphisms associated with inflammatory proteins were selected as instrumental variables. Meningioma data were obtained from a Finnish database (1316 case"
2,likely_mr,prot:title|gwas:abs,MR,2025,MED,39870808,10.1038/s41598-025-88196-w,Scientific reports,Interconnections between BDH1-plasma protein-type 2 diabetes Mellitus: a mediated mendelian randomization analysis using plasma proteomics.,"Liu YY, Zhang YY, Wan Q.",2025-01-27,"With the rapid advancement of proteomics, numerous scholars have investigated the intricate relationships between plasma proteins and various diseases. Therefore, this study aims to elucidate the relationship between BDH1 and type 2 diabetes using Mendelian randomization (MR) and to identify novel targets for the prevention and treatment of type 2 diabetes through proteomics. This study primarily employed the Mendelian Randomization (MR) method, leveraging genetic data from numerous large-scale, publicly accessible genome-wide association studies (GWAS). Within this framework, we adopted a two"
2,likely_mr,prot:abs|gwas:title,MR,2025,MED,40405979,10.3389/fendo.2025.1578944,Frontiers in endocrinology,Investigating the shared genetic architecture between obesity and depression: a large-scale genomewide cross-trait analysis.,"Yuan L, Su Y, Zhao J, Cho M, Wang D, Yuan L, Li M, Zheng D, Piao H, Wang Y, Zhu Z, Li D, Wang T, Ha KT, Park W, Liu K.",2025-05-08,"<h4>Introduction</h4>Increasing evidence suggests that individuals with obesity are at a higher risk of developing depression, and conversely, depression can contribute to the onset of obesity, creating a detrimental cycle. This study aims to investigate the potential shared biological pathways between obesity and depression by examining genetic correlations, identifying common polymorphisms, and conducting cross-trait genetic analyses.<h4>Methods</h4>We assessed the genetic correlation between obesity and depression using linkage disequilibrium score regression and high-density lipoprotein le"
2,likely_mr,prot:title|gwas:abs,MR,2024,MED,37778897,10.1016/j.dld.2023.09.017,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,The causal effect of mTORC1-dependent circulating protein levels on nonalcoholic fatty liver disease: A Mendelian randomization study.,"Yan X, Huang S, Li H, Feng Z, Kong J, Liu J.",2023-09-29,"<h4>Background</h4>The mechanistic target of rapamycin (mTOR) signal pathway plays a crucial role in the development of nonalcoholic fatty liver disease (NAFLD). However, the causal effect of mTOR downstream proteins on NAFLD remains unknown.<h4>Aims</h4>We conducted a two-sample Mendelian randomization (MR) study to investigate whether the mTOR-dependent circulating proteins, including Eukaryotic Initiation Factor 4E Binding Proteins (eIF4EBPs), Ribosomal Protein S6K kinase 1 (RP-S6K), Eukaryotic Initiation Factor 4E (eIF4E), Eukaryotic Initiation Factor 4A (eIF4A) and Eukaryotic Initiation F"
2,likely_mr,prot:title|gwas:abs,MR,2026,MED,41507915,10.1186/s12957-025-04189-z,World journal of surgical oncology,Identification of novel circulating protein biomarkers for hepatocellular carcinoma superior to alpha-fetoprotein through a stemness index and secretome analysis.,"Gao C, Li X, Liu X, Yan S, Ran X, Han J.",2026-01-09,"<h4>Objective</h4>This study aimed to identify novel circulating protein biomarkers for hepatocellular carcinoma (HCC) superior to alpha-fetoprotein (AFP) by integrating tumor stemness index and secreted protein screening, and to explore their roles in prognosis, immune microenvironment, and tumor mechanisms.<h4>Methods</h4>Stemness-associated differentially expressed genes were identified from TCGA (The Cancer Genome Atlas) and GEO (Gene Expression Omnibus) databases after applying ComBat batch effect correction and quantile normalization to harmonize the datasets. WGCNA (weighted gene co-exp"
2,likely_mr,prot:title|gwas:abs,MR,2025,MED,39536725,10.1159/000542527,International archives of allergy and immunology,"Evaluating the Causal Association between Circulating Plasma Proteins, 731 Immune Cell Phenotypes, and Atopic Dermatitis: A Mediation Mendelian Randomization Study.","Zhang W, Wei S, Li Q, Yin L, Zhu J, Yang S, Zhu S, Lai K.",2024-11-13,"<h4>Introduction</h4>Atopic dermatitis (AD) is a chronic inflammatory skin disease characterized by eczematous lesions and severe itching. However, its pathogenesis has not yet been fully elucidated. The aim of this study was to investigate the causal relationship between plasma proteins and AD, as well as to identify and quantify the potential roles of immune cell phenotypes as mediators.<h4>Methods</h4>We utilized summary-level data from genome-wide association studies and conducted a two-sample Mendelian randomization (MR) analysis involving 4,907 circulating plasma proteins, 731 immune cel"
2,primary_pgwas?,prot:abs|gwas:abs|cohort,meta,2025,MED,40735363,10.18332/tid/205419,Tobacco induced diseases,Deciphering gene-smoking interactions in age-related macular degeneration through cross-biobank genomic integration.,"Guo J, Jiang Y, Xu X, Wang J, Yao X, Wang X, Yang H, Li MJ, Yan H.",2025-07-29,"<h4>Introduction</h4>This study aims to identify genetic loci associated with age-related macular degeneration (AMD) and assess the interaction between genetic susceptibility and smoking history.<h4>Methods</h4>A meta-analysis of discovery genome-wide association studies (GWASs), involving a total of 42542 AMD patients and 920322 controls from four large-scale European cohorts, was conducted using METAL, a software tool commonly used for meta-analysis of GWAS. A polygenic risk score (PRS) was derived from the meta-analysis results for 331281 UK Biobank participants. Cox proportional hazards mo"
2,likely_mr,prot:abs|gwas:title,MR,2024,MED,39588545,10.3389/fpsyt.2024.1456182,Frontiers in psychiatry,Shared genetic architecture of psychiatric disorders and hemorrhoidal disease: a large-scale genome-wide cross-trait analysis.,"Chen Z, Hu B, Sun J, Jiang Y, Chen Z, Yang C, He H, Wang W.",2024-11-11,"<h4>Background</h4>The genetic association between psychiatric disorders and hemorrhoidal disease (HEM) is still not well known. The work aims to investigate their comorbidity at a genetic level.<h4>Methods</h4>Utilizing recent large-scale genome-wide association studies (GWAS), we investigated the genetic overlap at the single nucleotide polymorphism (SNP), gene, and molecular level between depression and HEM, bipolar disorder (BD) and HEM, neuroticism and HEM, as well as schizophrenia (SCZ) and HEM. The cross-trait genes were validated through the utilization of transcriptome and proteome me"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2026,MED,42039925,10.1002/trc2.70258,"Alzheimer's & dementia (New York, N. Y.)",Druggable genome-wide Mendelian randomization analysis identifies potential treatment targets in vascular dementia.,"Lennon MJ, Xu Y, Thalamuthu A, Mather K, Sachdev PS.",2026-04-22,"<h4>Background</h4>There are currently no US Food and Drug Administration-approved treatments for vascular dementia (VaD). Genome-wide approaches have successfully identified druggable targets and treatments for various disorders. In this study, we performed druggable genome-wide two-sample Mendelian randomization (2SMR) analysis to identify possible treatment targets for VaD.<h4>Methods</h4>2SMR analyses were used to estimate the causal effects of druggable gene expression on VaD risk. The exposure variables were significant cis-expression quantitative trait loci (eQTLs) and cis-protein quant"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2026,MED,41694229,10.1016/j.bbih.2026.101185,"Brain, behavior, & immunity - health",Assessing the repurposing potential of disease-modifying antirheumatic drug targets to reduce Alzheimer's disease risk: a Mendelian randomization study.,"Kushnir CN, Taylor-Bateman V, Davies NM, Anderson EL.",2026-01-30,"<h4>Background</h4>Systemic inflammation plays a key role in the development and progression of Alzheimer's disease (AD). However, the repurposing potential of select anti-inflammatory drug targets for AD treatment remains unclear.<h4>Methods</h4>Two-sample Mendelian randomization (MR) and colocalization analyses were conducted to estimate the effects of select disease-modifying antirheumatic (DMARD) targets on AD risk. We investigated 9 DMARD targets, using blood protein quantitative trait loci (pQTLs) from the UK Biobank Pharma Proteomics Project (<i>n</i> = 54,219). Outcome associations wer"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2025,MED,41261649,10.1097/md.0000000000045444,Medicine,Identification of circulating inflammatory proteins as potential drug targets for sepsis through Mendelian randomization and colocalization analyses.,"Wan F, Shen J, Tang J.",2025-10-01,"Sepsis is a complex disease with limited therapeutics. We conducted a 2-sample Mendelian randomization (MR) analysis to identify circulating inflammatory proteins as potential drug targets for sepsis. Protein quantitative trait loci (pQTLs) at cis-region for 448 circulating inflammatory proteins were obtained from the UK biobank pharma proteomics project (UKB-PPP) (N = 54219), and summary-level genetic associations with sepsis were extracted from the FinnGen cohort (12,301 cases and 332,343 controls) for the primary MR analysis. The findings were further replicated using alternative cis-pQTL ("
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2026,MED,41832569,10.1186/s13018-026-06762-y,Journal of orthopaedic surgery and research,Multi-omics Mendelian randomization prioritizes BMP6 as a candidate therapeutic target in intervertebral disc degeneration.,"Kan S, Liu W, Li P, Zhou M, Yu H, Zheng Y, Hu W, Zhu R.",2026-03-14,"<h4>Background</h4>Intervertebral disc degeneration (IVDD) is a prevalent condition causing substantial pain, muscle weakness, and functional impairment; however, the efficacy of current treatments remains limited. Therefore, candidate therapeutic targets must urgently be prioritized to guide future mechanistic and translational research. This study aims to identify genetic factors associated with IVDD and explore the underlying mechanisms through the comprehensive integration of multi-omics data.<h4>Methods</h4>We applied Mendelian randomization (MR) to prioritize candidate therapeutic geneti"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2025,MED,41088671,10.1097/md.0000000000045102,Medicine,COPD-associated proteins as biomarkers and drug targets: Insights from genetic and proteomic analyses.,"Lin X, Zheng Q, Ma J, Ouyang W, Chen B.",2025-10-01,"Chronic obstructive pulmonary disease (COPD) is a major global health burden with significant morbidity and mortality. Identifying circulating protein biomarkers may help understand COPD pathogenesis and develop novel therapeutic targets. We conducted a 2-sample Mendelian randomization (MR) analysis to assess the causal relationship between circulating proteins (cis-pQTLs) and COPD. Co-localization analysis confirmed shared genetic variants, while tissue-specific and pathway analyses provided insights into the biological roles of key proteins. Protein-protein interaction network analysis was c"
1,likely_mr,prot:abs|gwas:abs|nproteins,MR,2025,PPR,,10.1101/2025.08.14.25333677,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}","Genome-wide analysis of 439 mass spectrometry-based proteomic profiles in a population of 15,035 Scottish individuals","Richmond A, Robertson JA, Smith HM, Hillary RF, Zelezniak A, Vernardis S, Chybowska AD, Grauslys A, Mur J, Campbell A, Drake C, Grant H, Adkin P, White M, Brigden C, Messner CB, Porteous DJ, Hayward C, McIntosh AM, McCartney DL, Ralser M, Marioni RE.",2025-08-15,"Understanding the genetic architecture of the circulating proteome can help determine if a protein is causally linked to disease. Previous large-scale genome-wide association studies (GWAS) of proteins have mostly been conducted to pre-defined, targeted subsets of the proteome, and have often concentrated on low abundance proteins, many of which don’t exert their main function in serum. Mass spectrometry-based proteomics facilitates the study of high-abundance proteins and their isoforms, focussing on proteins active in blood. In 15,035 individuals from Generation Scotland, we performed GWAS o"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2026,MED,41467369,10.1161/jaha.124.038088,Journal of the American Heart Association,Potential Risk Factors and Therapeutic Targets for Dilated Cardiomyopathy Identified Through Mendelian Randomization Analysis.,"Wang H, Wang Y, Huang D, Jiang X, Li C, Xia X, Liu G, Shi J, Li X.",2025-12-30,"<h4>Background</h4>Dilated cardiomyopathy (DCM) is a severe form of cardiomyopathy. The study aims to investigate the impact of metabolic and lifestyle factors on DCM and to identify new potential therapeutic targets.<h4>Methods</h4>Both bidirectional Mendelian randomization (MR) and Bayesian colocalization were performed based on summary data from large-scale, genome-wide association studies and the FinnGen project. Single nucleotide variant strongly associated with exposure at the genome-wide significance level were used as instrumental variables. Methods of inverse-variance weighted, debias"
1,likely_mr,prot:title|gwas:abs|cohort|nproteins,MR|coloc|drug-target,2026,MED,41799426,10.2147/ccid.s576669,"Clinical, cosmetic and investigational dermatology",Evaluation of Potential Therapeutic Targets for Bacterial Infectious Skin Diseases: A Proteome-Wide Mendelian Randomization Study.,"Yan Z, Shi Z, Wang Y, Yin H.",2026-03-02,"<h4>Background</h4>Bacterial infectious skin diseases are common dermatological conditions caused by various pathogenic bacteria. In recent years, their incidence has remained high due to factors such as climate change and the overuse of antibiotics, posing persistent challenges for clinical diagnosis and treatment. This study aimed to identify plasma proteins causally associated with cellulitis, erysipelas, cutaneous abscess, furuncle, and carbuncle through Mendelian randomization (MR) analysis.<h4>Methods</h4>We analyzed genetic instruments of 4907 proteins derived from the Icelandic populat"
1,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort|nproteins,MR|PWAS|drug-target,2026,MED,42064289,10.1093/lifemeta/loag001,Life metabolism,Integrative omics analysis incorporating cardiovascular magnetic resonance imaging pinpoints potentially druggable plasma proteins for cardiovascular diseases.,"Gong W, Guo P, Liu L, Sun X, Wang S, Xue F, Shen L, Yuan Z.",2026-01-07,"Despite advances in traditional risk factors for cardiovascular diseases (CVDs), significant residual risk of CVDs remains incompletely captured. Integrative analysis incorporating cardiovascular magnetic resonance imaging (CMR) could facilitate to discover novel -therapeutic targets. This study aimed to identify potentially druggable plasma proteins for CVDs by incorporating CMR traits with integrative omics analysis. By integrating protein quantitative trait loci (pQTL) datasets of plasma proteins from Atherosclerosis Risk in Communities (ARIC) study with genome-wide association studies of 1"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2025,MED,41057938,10.1186/s40246-025-00826-6,Human genomics,Identification of genetically-supported new drug targets for osteomyelitis based on druggable genomes.,"Yao R, Lu Y, Lu D, Ren H, Wang X, Lin B, Chen S, Zhu Y, Chen F, Wang Y, Gao Y, Shen J, Guo Q, Huang K.",2025-10-07,"<h4>Background</h4>Limited drug treatment data are available for osteomyelitis (OM), an inflammatory bone condition secondary to infection. Given its genetic characteristics, it is necessary to integrate genetics into drug development for osteomyelitis. This study applied pharmacogenomics to identify new drug targets for osteomyelitis using Mendelian randomization (MR).<h4>Methods</h4>Following the Strengthening the Reporting of Observational Studies in Epidemiology using Mendelian Randomization guidelines, expression and protein quantitative trait loci (QTL) analysis was applied to simulate d"
1,likely_primary,prot:abs|gwas:abs|denovo-pqtl|cohort,MR|drug-target,2025,MED,40338406,10.1007/s12672-025-02550-y,Discover oncology,New therapeutic targets and mechanisms of papillary thyroid carcinoma identified by multi-omics analysis.,"Xu J, Gao C.",2025-05-08,"<h4>Introduction</h4>The treatment of papillary thyroid carcinoma (PTC) presents ongoing challenges, underscoring the need for novel therapeutic targets.<h4>Methods</h4>This study employed proteomic MR analysis, utilizing publicly available data from genome-wide association studies (GWAS) and protein quantitative trait loci (pQTL) studies. We analyzed proteomic data from deCODE and the UK Biobank Protein Project (UKB-PP), along with GWAS data on papillary thyroid carcinoma (PTC) from the Finnish Consortium. This analysis was further supported by eQTL validation and bioinformatics differential "
